id_product;name;reference;price;wholesale_price;unit_price_ratio;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"1601";"Farine de blé 5 céréales   1kg  Moulin Saint Joseph";"DG-RO-UUN-NN-P";"2.900000";"2.320000";"0.000000";"1";"Coop La Meute";"1";"2079";"Accueil";"0";"0";"";"5";"0";
"1602";"ECO-EPONGE";"MX-RN-UUN-NN";"2.900000";"2.330000";"0.000000";"1";"Coop La Meute";"1";"2081";"Produits Ménagers";"0";"0";"";"9";"0";
"1603";"Confiture citron vert bio , 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"0";"Coop La Meute";"1";"2082";"Confitures";"0";"0";"";"0";"1";
"1604";"Confiture citron bio , 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"1";"Coop La Meute";"1";"2084";"Confitures";"0";"0";"";"3";"0";
"1605";"Confiture citron verveine bio , 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"1";"Coop La Meute";"1";"2085";"Confitures";"0";"0";"";"4";"0";
"1606";"Confiture Oranges sanguines bio , 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"1";"Coop La Meute";"1";"2086";"Confitures";"0";"0";"";"1";"0";
"1607";"Confiture kiwis, pommes caramélisées, citrons verts , 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"1";"Coop La Meute";"1";"2087";"Confitures";"0";"0";"";"3";"0";
"1608";"La Chikolodenn Rillettes de langoustines - verrine 90g";"SH-RO-UUN-NN-P";"5.050000";"4.040000";"0.000000";"1";"Coop La Meute";"1";"";"Accueil";"0";"0";"";"2";"0";
"1610";"Bière La Sorcière Blonde 5° bouteille 75cl Bio";"SA-SI-UUN-NN-P";"5.650000";"4.520000";"0.000000";"1";"Coop La Meute";"1";"2088";"Boissons";"0";"0";"";"7";"0";
"1611";"Feuilles d'olivier";"DT-RO-UUN-NN-P";"2.000000";"1.850000";"0.000000";"1";"Coop La Meute";"1";"2089";"Thés et Infusions";"0";"0";"";"31";"0";
"1612";"Germacoré 100g";"DT-RO-UUN-NN-P";"4.450000";"3.570000";"0.000000";"1";"Coop La Meute";"1";"2090";"Café";"0";"0";"";"6";"0";
"1613";"Café lyophilisé arabica 100g";"DT-RO-UUN-NN-P";"5.800000";"4.640000";"0.000000";"1";"Coop La Meute";"1";"2091";"Café";"0";"0";"";"9";"0";
"1614";"Bière traditionnelle blanche JADE 25 cl";"SA-SI-UUN-NN-P";"1.400000";"1.110000";"0.000000";"1";"Coop La Meute";"1";"2092";"Vins et bières";"0";"0";"";"12";"0";
"1615";"Sauce soja tamari 250 ml";"SH-RO-UUN-NN-P";"3.200000";"2.560000";"0.000000";"1";"Coop La Meute";"1";"2093";"Aide culinaire salé";"0";"0";"";"3";"0";
"1616";"Farine de seigle";"DG-RO-UUN-NN-P";"2.450000";"1.950000";"0.000000";"1";"Coop La Meute";"1";"2094";"Farine";"0";"0";"";"4";"0";
"1617";"Caviar d'aubergines 200g";"SS-RO-UUN-NN-P";"3.250000";"2.580000";"0.000000";"1";"Coop La Meute";"1";"2095";"Sauces et Accompagnements";"0";"0";"";"13";"0";
"1618";"Escalivade 200g";"SS-RO-UUN-NN-P";"3.250000";"2.580000";"0.000000";"1";"Coop La Meute";"1";"2096";"Sauces et Accompagnements";"0";"0";"";"9";"0";
"1619";"Gingembre en lamelles 200g";"SH-RO-UUN-NN-P";"3.500000";"2.800000";"0.000000";"1";"Coop La Meute";"1";"2097";"Aide culinaire salé";"0";"0";"";"3";"0";
"1620";"Purée de piment jaune 90g";"SH-RO-UUN-NN-P";"4.250000";"3.400000";"0.000000";"1";"Coop La Meute";"1";"2098";"Aide culinaire salé";"0";"0";"";"10";"0";
"1621";"Purée de noisettes Italie 350g";"DC-RO-UUN-NN";"9.350000";"7.490000";"0.000000";"1";"Coop La Meute";"1";"2099";"Compotes et Purées";"0";"0";"";"5";"0";
"1622";"Gros fenouil La Roquette AR (au kg)";"LR-MN-KUN-NO";"3.600000";"1.270000";"0.000000";"1";"Coop La Meute";"1";"2101";"Autres légumes";"0";"0";"";"764";"0";
"1623";"Jardin Bio  Farine de Blé semi-complète T 80 1kg";"DG-RO-UUN-NN-P";"2.100000";"1.670000";"0.000000";"1";"Coop La Meute";"1";"2102";"Epicerie salée";"0";"0";"";"2";"0";
"1624";"Double concentré de Tomate sans sel ajouté - tube 200 g";"SC-RO-UUN-NN-P";"1.800000";"1.430000";"0.000000";"1";"Coop La Meute";"1";"2103";"Epicerie salée";"0";"0";"";"11";"0";
"1625";"Route des Comptoir Thé vert Chun Mee – 100g";"DT-RN-UUN-NN-N";"4.750000";"3.790000";"0.000000";"1";"Coop La Meute";"1";"2104";"Thés et Infusions";"0";"0";"";"7";"0";
"1626";"Route des Comptoir Thé vert Gunpowder – 100g";"DT-RN-UUN-NN-N";"4.600000";"3.690000";"0.000000";"1";"Coop La Meute";"1";"2105";"Thés et Infusions";"0";"0";"";"2";"0";
"1627";"Route des Comptoir Thé noir Breakfast – 100g";"DT-RN-UUN-NN-N";"4.100000";"3.280000";"0.000000";"1";"Coop La Meute";"1";"2106";"Thés et Infusions";"0";"0";"";"4";"0";
"1628";"Route des Comptoir Thé noir Darjeeling Ambootia – 100g";"DT-RN-UUN-NN-N";"5.300000";"4.200000";"0.000000";"1";"Coop La Meute";"1";"2107";"Thés et Infusions";"0";"0";"";"1";"0";
"1629";"choux rouge de hollande vendu à la pièce, prix au kg";"LC-MV-UUN-NO";"3.050000";"2.450000";"1.000000";"0";"Coop La Meute";"1";"2109";"Légumes frais";"0";"0";"";"1";"0";
"1630";"Tarte aux Pommes moelleuse à la part";"OF-MV-UUN-NN";"2.300000";"1.840000";"0.000000";"0";"Coop La Meute";"1";"2110";"Traiteur";"0";"0";"";"0";"1";
"1631";"Mélange doux Micro Pousses 35 40 g  grande barquette";"GF-MN-UUN-NN";"3.900000";"3.120000";"0.000000";"1";"Coop La Meute";"1";"2227";"Légumes frais";"0";"0";"";"5";"0";
"1632";"Mélange corsé  Micro Pousses 35 40 g  grande barquette";"GF-MN-UUN-NN";"3.900000";"3.120000";"0.000000";"1";"Coop La Meute";"1";"2228";"Légumes frais";"0";"0";"";"4";"0";
"1633";"Micro pousses de Coriandre en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"5.500000";"4.400000";"0.000000";"0";"Coop La Meute";"1";"2113";"Légumes frais";"0";"0";"";"4";"0";
"1634";"Micro pousses de Basilic  grand vert en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"5.500000";"4.400000";"0.000000";"1";"Coop La Meute";"1";"2114";"Légumes frais";"0";"0";"";"3";"0";
"1635";"Micro pousses de Radis Red Corail  en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"5.500000";"4.400000";"0.000000";"0";"Coop La Meute";"1";"2210";"Légumes frais";"0";"0";"";"2";"0";
"1636";"Petits pois  La Roquette AR (à l'hectogramme)";"LF-MN-KDN-NO-P";"0.660000";"0.530000";"0.100000";"0";"Coop La Meute";"1";"2116";"Autres légumes";"0";"0";"";"997";"0";
"1637";"Févettes AR (par 100g)";"LG-MN-KDN-NO-P";"0.500000";"0.400000";"0.100000";"0";"Coop La Meute";"1";"2117";"Légumes frais";"0";"0";"";"996";"0";
"1638";"Pot de muguet 3 brins";"ZZ";"5.200000";"4.180000";"0.000000";"0";"Coop La Meute";"1";"2118";"Accueil";"0";"0";"";"75";"0";
"1639";"Vanille poudre 10g";"SS-RO-UUN-NN-P";"15.700000";"12.570000";"0.000000";"1";"Coop La Meute";"1";"2119";"Aide culinaire sucré";"0";"0";"";"1";"0";
"1640";"Huile de sésame 500ml";"SH-RO-UUN-NN-P";"6.200000";"4.960000";"0.000000";"1";"Coop La Meute";"1";"2120";"Huiles , Vinaigres et Condiments";"0";"0";"";"9";"0";
"1641";"Curry indien poudre35g";"SS-RO-UUN-NN-P";"2.400000";"1.930000";"0.000000";"1";"Coop La Meute";"1";"2121";"Aide culinaire salé";"0";"0";"";"2";"0";
"1642";"Muscade noix 20g";"SS-RO-UUN-NN-P";"0.000000";"0.000000";"0.000000";"0";"Coop La Meute";"1";"";"Accueil";"0";"0";"";"0";"1";
"1643";"Piment d'espelette AOP 50g";"SS-RO-UUN-NN-P";"10.700000";"8.550000";"0.000000";"1";"Coop La Meute";"1";"2122";"Aide culinaire salé";"0";"0";"";"3";"0";
"1644";"Muscade noix 20g";"SS-RO-UUN-NN-P";"2.550000";"2.030000";"0.000000";"1";"Coop La Meute";"1";"2123";"Aide culinaire salé";"0";"0";"";"3";"0";
"1645";"Micro pousses de Persil en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"5.500000";"4.400000";"0.000000";"1";"Coop La Meute";"1";"2125";"Légumes frais";"0";"0";"";"4";"0";
"1646";"Fraises pour confiture Agric Raisonnée ( au kg)";"FD-MO-KUN-NO";"6.500000";"5.200000";"1.000000";"0";"Coop La Meute";"1";"2135";"Fruits frais";"0";"0";"";"1";"0";
"1647";"Fromage de chèvre frais (180 g)";"CR-MV-UUN-NN";"4.350000";"3.500000";"1.000000";"0";"Coop La Meute";"1";"2131";"Fromages et Crèmerie";"0";"0";"";"95";"0";
"1650";"Fromage de chèvre affiné";"CR-MV-UUN-NN";"4.350000";"3.500000";"1.000000";"0";"Coop La Meute";"1";"2132";"Fromages et Crèmerie";"0";"0";"";"88";"0";
