Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"De la pousse à l'assiette";"Non";"1674";"";"";"Barquette de Micro Pousses  radis daikon (barquette 20 g)";"GF-MN-UUN-NN-S";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1675";"";"";"Semis de basilic. Graines spécial micro pousses donc à manger petit ou à faire grandir";"GD-MN-UUN-NN";"Légumes frais";"2.00";"2.50";"barquette";"-1";
"De la pousse à l'assiette";"Non";"1676";"";"";"Barquette Micro Pousses mélange de pois et basilic  (barquette 20 g)";"GF-MN-UUN-NN-S";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1677";"";"";"Barquette Micro Pousses Sarrasin (barquette 20 g)";"GF-MN-UUN-NN";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1679";"";"";"Barquette de Micro Pousses de Capucine  barquette 20 g";"GF-MN-UUN-NN";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1680";"";"";"Micro Pousses de Mauve fleurs et feuilles 25 30 g  barquette moyenne";"GF-MN-UUN-NN";"Légumes frais";"2.00";"2.50";"barquette";"3";
"De la pousse à l'assiette";"Non";"1681";"";"";"Barquette de Micro Pousses de Calendula. barquette 20 g";"GF-MN-UUN-NN";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1693";"";"";"Mélange verveine menthe 35 40 g grande barquette";"GF-MN-UUN-NN";"Légumes frais";"3.12";"3.90";"barquette";"4";
"De la pousse à l'assiette";"Non";"1695";"";"";"Micro pousses de Pois Érable en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"Légumes frais";"4.40";"5.50";"barquette";"0";
"De la pousse à l'assiette";"Non";"1696";"";"";"Micro pousses de Roquette en bac de 14 *19 cm très dense";"GD-MN-UUN-NN";"Légumes frais";"4.40";"5.50";"barquette";"2";
"De la pousse à l'assiette";"Non";"1697";"";"";"Barquette Micro Pousses mélange Fenouil et Agastache ( anis et teglisse)  barquette 20 g";"GF-MN-UUN-NN";"Légumes frais";"1.52";"1.90";"barquette";"0";
"De la pousse à l'assiette";"Non";"1698";"";"";"Barquette de Micro Pousses de Verveine   barquette 20 g";"GF-MN-UUN-NN";"Légumes frais";"1.52";"1.90";"barquette";"0";
