id_product;name;reference;price;wholesale_price;active;shopname;supp;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"678";"Shampooing infusion avoine et lin  - 250ml";"BX-RO-UUN-NN-P";"3.750000";"3.000000";"1";"Coop La Meute";"Floressance";"1";"963";"Accueil";"0";"0";"";"2";"0";
"679";"Douche crème SURGRAS à l'huile de Karité - Pour les peaux sèches et sensibles 650ml";"BX-RO-UUN-NN-P";"6.850000";"5.400000";"1";"Coop La Meute";"SoBIO-étic";"1";"964";"Accueil";"0";"0";"";"0";"1";
"680";"Mandarines  feuilles d'Italie BIO (au Kg)";"FP-MO-KUN-NO-P";"2.700000";"2.150000";"1";"Coop La Meute";"Naturdis";"1";"967";"Agrumes";"0";"0";"";"87";"0";
"681";"Pommes  Bio petit calibre (au kg)";"FP-MO-KUN-NO-P";"2.050000";"1.550000";"0";"Coop La Meute";"Centifoglia  ";"1";"969";"Pommes et poires";"0";"0";"";"0";"1";
"682";"Purée de sésame tahin 350g";"SH-RO-UUN-NN-P";"6.200000";"4.940000";"1";"Coop La Meute";"Jardin Bio";"1";"970";"Epicerie salée";"0";"0";"";"5";"0";
"683";"Beurre de cacahuète bio 350g";"SH-RO-UUN-NN-P";"3.700000";"2.970000";"1";"Coop La Meute";"Jardin Bio";"1";"971";"Epicerie salée";"0";"0";"";"7";"0";
"684";"Shampooing Infusion Cassis et Aubépine   250ml";"BX-RO-UUN-NN-P";"4.400000";"3.540000";"1";"Coop La Meute";"Floressance";"1";"972";"Accueil";"0";"0";"";"6";"0";
"685";"Miel de Bruyère  500 g";"DS-RO-UUN-NN-P";"8.050000";"6.100000";"1";"Coop La Meute";"Frederique MAURE";"1";"1003";"Sucre , Miel, Sirop d'agave";"0";"0";"";"5";"0";
"690";"Oranges amères (au kg)";"FA-MN-KUN-NO-P";"2.000000";"1.590000";"0";"Coop La Meute";"Le Galline Felici (agrumes)";"1";"986";"Agrumes";"0";"0";"";"0";"1";
"691";"Mandarines BIO (au kg)";"FA-MN-KUN-NO-P";"3.000000";"2.230000";"0";"Coop La Meute";"Le Galline Felici (agrumes)";"1";"1378";"Agrumes";"0";"0";"";"0";"1";
"693";"Citrons doux Piretti (au kg)";"FA-MN-KUN-NO-P";"4.400000";"3.510000";"0";"Coop La Meute";"Le Galline Felici (agrumes)";"1";"991";"Agrumes";"0";"0";"";"0";"1";
"695";"Déodorant douceur lait d’anesse 50ml";"BX-RO-UUN-NN-P";"4.500000";"3.580000";"1";"Coop La Meute";"SoBIO-étic";"1";"1191";"Accueil";"0";"0";"";"2";"0";
"696";"Déodorant fraicheur menthe -50ml";"BX-RO-UUN-NN-P";"4.500000";"3.580000";"1";"Coop La Meute";"SoBIO-étic";"1";"1190";"Accueil";"0";"0";"";"2";"0";
"697";"Sablé gourmand Caramel Sel de Guérande 150g";"SB-RO-UUN-NN-P";"2.200000";"1.750000";"1";"Coop La Meute";"Jardin Bio";"1";"997";"Epicerie sucrée";"0";"0";"";"7";"0";
"699";"Miel de Haute Montagne 500g";"DS-RO-UUN-NN-P";"8.000000";"8.000000";"0";"Coop La Meute";"Frederique MAURE";"1";"1002";"Sucre , Miel, Sirop d'agave";"0";"0";"";"0";"1";
"700";"Cocktail Ananas Banane Coco  bio 75 cl";"DJ-RO-UUN-NN-P";"4.840000";"3.870000";"1";"Coop La Meute";"Jardin Bio";"1";"998";"Accueil";"0";"0";"";"7";"0";
"701";"Pommes Fuji BIO (au Kg)";"FP-MO-KUN-NO-P";"2.800000";"2.230000";"0";"Coop La Meute";"Centifoglia  ";"1";"999";"Pommes et poires";"0";"0";"";"956";"0";
"703";"Penne par paquet de 500 g";"SP-RO-UUN-NN-P";"1.100000";"0.820000";"0";"Coop La Meute";"La Pelle d'Or";"1";"1004";"Pâtes, Riz, Autres céréales";"0";"0";"";"0";"1";
"704";"Galettes de riz complet au quinoa bio sans gluten  130g";"DP-RO-UUN-NN-P";"1.450000";"1.140000";"1";"Coop La Meute";"Jardin Bio";"1";"1005";"Accueil";"0";"0";"";"4";"0";
"705";"Farine de maïs bio sans gluten 400g";"DG-RO-KUN-NN-P";"2.050000";"1.640000";"1";"Coop La Meute";"Jardin Bio";"1";"1006";"Epicerie salée";"0";"0";"";"0";"1";
"706";"Coco cuisine gourmand sans gluten  20cl";"SH-RO-UUN-NN-P";"2.000000";"1.610000";"1";"Coop La Meute";"Jardin Bio";"1";"1007";"Sauces et Accompagnements";"0";"0";"";"0";"1";
"707";"Sirop d'agave bio 250ml";"DS-RO-UUN-NN-P";"3.100000";"2.490000";"1";"Coop La Meute";"Jardin Bio";"1";"1008";"Sucre , Miel, Sirop d'agave";"0";"0";"";"7";"0";
"708";"Palmier pur beurre bio 100g";"SB-RO-UUN-NN-P";"2.250000";"1.800000";"1";"Coop La Meute";"Jardin Bio";"1";"1009";"Epicerie sucrée";"0";"0";"";"0";"1";
"709";"Fèves au naturel bio 330g";"SC-RO-UUN-NN-P";"2.200000";"1.770000";"1";"Coop La Meute";"Jardin Bio";"1";"1010";"Epicerie salée";"0";"0";"";"2";"0";
"710";"Pur jus de pomme trouble bio 1l";"DJ-RO-UUN-NN-P";"3.200000";"2.570000";"1";"Coop La Meute";"Jardin Bio";"1";"1011";"Accueil";"0";"0";"";"2";"0";
"711";"Soupe de chou blanc au litre";"SC-RO-UUN-NN";"6.900000";"0.000000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"1014";"Accueil";"0";"0";"";"1";"0";
"712";"Chutney Poivrons - 90 g";"SS-RO-UUN-NN";"3.000000";"0.000000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"1016";"Accueil";"0";"0";"";"0";"1";
"713";"Chutney Poivrons - 180 g";"SS-RO-UUN-NN";"5.900000";"4.800000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"1015";"Accueil";"0";"0";"";"0";"1";
"714";"Confiture de Tomates vertes 220g";"SS-RO-UUN-NN";"0.000000";"0.000000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"1067";"Accueil";"0";"0";"";"0";"1";
"717";"Céleri rave BIO  (à la piece) payé au kilo";"LR-MO-UUN-NO-P";"2.750000";"2.190000";"0";"Coop La Meute";"Naturdis";"1";"1018";"Autres légumes";"0";"0";"";"994";"0";
"718";"concombre lisse  Bio (achat à la pièce)";"LC-MV-UUN-NN-P";"1.950000";"1.530000";"0";"Coop La Meute";"Naturdis";"1";"1019";"Légumes frais";"0";"0";"";"718";"0";
"719";"Pousses d'épinard BIO  à l'hectogramme (100g)";"LS-MN-KDO-NO-P";"1.050000";"0.830000";"0";"Coop La Meute";"Naturdis";"1";"1020";"Légumes frais";"0";"0";"";"980";"0";
"720";"Cébettes BIO à la botte";"LB-MN-LUN-NN-P";"2.050000";"1.650000";"0";"Coop La Meute";"Naturdis";"1";"1021";"Accueil";"0";"0";"";"988";"0";
"721";"Betteraves crues BIO de chez Naturdis (au 500g)";"LR-MO-KMN-NO-P";"1.150000";"0.930000";"0";"Coop La Meute";"Naturdis";"1";"1022";"Autres légumes";"0";"0";"";"0";"1";
"722";"Carottes lavées BIOs (au kg)";"LR-RO-KUN-NO-P";"2.000000";"2.000000";"0";"Coop La Meute";"Naturdis";"1";"1023";"Autres légumes";"0";"0";"";"430";"0";
"723";"Petits pois (à l'hectogramme)";"LF-MN-KDN-NO-P";"1.200000";"0.950000";"0";"Coop La Meute";"VIDAL Yann";"1";"1054";"Autres légumes";"0";"0";"";"5";"0";
"728";"Epinard BIO (en botte de 250g)";"LS-MN-UUN-NN-X";"1.100000";"0.880000";"0";"Coop La Meute";"Jardins Vallée de la Siagne";"1";"1029";"Légumes frais";"0";"0";"";"971";"0";
"729";"Salade Laitue batavia BIO (à la pièce)";"LS-MN-UUN-NN-X";"1.000000";"0.800000";"0";"Coop La Meute";"Jardins Vallée de la Siagne";"1";"1030";"Salades";"0";"0";"";"0";"1";
"730";"Poireaux Bio au 500g";"LB-MV-KMN-NO-P";"1.450000";"1.140000";"1";"Coop La Meute";"Naturdis";"1";"1031";"Autres légumes";"0";"0";"";"878";"0";
"731";"Poivrons verts BIO (par 500g)";"LF-MN-KMN-NO-P";"2.400000";"1.900000";"0";"Coop La Meute";"Naturdis";"1";"1032";"Légumes frais";"0";"0";"";"977";"0";
"732";"Poivrons rouges BIO  Naturdis(par 500g)";"LF-MN-KMN-NO-P";"2.300000";"1.750000";"0";"Coop La Meute";"Naturdis";"1";"1033";"Légumes frais";"0";"0";"";"939";"0";
"733";"Pommes de terre Nouvelle Spunta Bio (au kg) Naturdis";"LP-MO-KUN-NO-P";"2.400000";"1.880000";"0";"Coop La Meute";"Naturdis";"1";"1034";"Pommes de terre";"0";"0";"";"580";"0";
"735";"Citrons BIO (à l'hectogramme)";"FA-MN-KDN-NO-P";"0.290000";"0.220000";"0";"Coop La Meute";"Le Galline Felici (agrumes)";"1";"1875";"Agrumes";"0";"0";"";"0";"1";
"737";"Fèves (à l'hectogramme)";"LG-MN-KDN-NO";"0.000000";"0.000000";"0";"Coop La Meute";"ORSO Manuel";"1";"1038";"Autres légumes";"0";"0";"";"1000";"0";
"738";"Salade Batavia BIO (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.740000";"0";"Coop La Meute";"VIDAL Yann";"1";"1039";"Salades";"0";"0";"";"871";"0";
"739";"Salade Feuille de Chêne Blonde BIO pièce";"LS-MN-UUN-NN-P";"1.000000";"0.800000";"0";"Coop La Meute";"VIDAL Yann";"1";"1040";"Légumes frais";"0";"0";"";"829";"0";
"740";"Salade Sucrine BIO (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.700000";"0";"Coop La Meute";"VIDAL Yann";"1";"1055";"Légumes frais";"0";"0";"";"868";"0";
"741";"Salade Petite Rougette BIO (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.800000";"0";"Coop La Meute";"VIDAL Yann";"1";"1042";"Légumes frais";"0";"0";"";"899";"0";
"742";"Artichaut BIO (à la pièce)";"LE-MN-UUN-NN-P";"0.700000";"0.500000";"0";"Coop La Meute";"VIDAL Yann";"1";"1043";"Autres légumes";"0";"0";"";"864";"0";
"743";"Oignons BIO (à la botte )";"LB-MN-LUN-NN-P";"2.000000";"1.580000";"0";"Coop La Meute";"VIDAL Yann";"1";"1045";"Oignons, Ail";"0";"0";"";"1";"0";
