id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1890";"Coings Bio (au 500G)   Echange Paysans.  Pierre Vanvooren";"FP-MN-KMN-NO";"";"1.150000";"0.850000";"0";"Echange Paysan 05 - F&L";"3";"0";
"1891";"Miel de fleurs sauvages  250 g";"DS-RO-UUN-NN-P";"";"6.250000";"4.990000";"1";"Rucher Abelha";"8";"0";
"1892";"Miel d'excellence Lavande sauvage  270 g";"DS-RO-UUN-NN-P";"";"12.600000";"10.100000";"1";"Rucher Abelha";"8";"0";
"1893";"Pommes de terre Dalida rouges Bio";"LP-RO-KUN-NO-P";"";"2.000000";"1.580000";"0";"GAEC Noble";"925";"0";
"1894";"Ail  Bio des Hautes Alpes (aux 100g). EP";"LB-MN-KDO-NO";"";"1.300000";"1.050000";"0";"Echange Paysan 05 - F&L";"0";"1";
"1895";"Barquette Micro Pousses de Brocoli  (barquette 25 30g)";"GF-MN-UUN-NN-S";"";"2.900000";"2.320000";"0";"De la pousse à l'assiette";"5";"0";
"1896";"Crème dessert vanille  125 G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"";"0.650000";"0.490000";"1";"Echange Paysan 05 - C&E";"23";"0";
"1897";"Godet de micro pousses de Duo de Radis.  A manger petit ou à faire grandir";"GD-MN-UUN-NN-X";"";"2.000000";"1.600000";"1";"De la pousse à l'assiette";"5";"0";
"1898";"Godet de micro pousses de Brocolis .  A manger petit ou à faire grandir";"GD-MN-UUN-NN-X";"";"2.500000";"2.000000";"1";"De la pousse à l'assiette";"5";"0";
"1899";"Godet de micro pousses de Coriandre.  A manger petit ou à faire grandir";"GD-MN-UUN-NN-X";"";"2.500000";"2.000000";"1";"De la pousse à l'assiette";"5";"0";
"1900";"Godet de micro pousses de Roquette.  A manger petit ou à faire grandir";"GD-MN-UUN-NN-X";"";"2.000000";"1.600000";"1";"De la pousse à l'assiette";"5";"0";
"1901";"Amandes PREMIUM VRAC- Italie servi par unités de 260g";"VD-RN-UUN-NN";"";"6.650000";"5.200000";"0";"NaturDis_A";"16";"0";
"1902";"Sachet d’éclats de chocolats 250gr (DLC 1an) Duplanteur  Bio";"DC-RO-UUN-NN-P";"";"15.550000";"14.000000";"0";"Maison Duplanteur";"0";"1";
"1903";"Sachet d’éclats de chocolats 350gr (DLC 1an) Duplanteur  Bio";"DC-RO-UUN-NN-P";"";"21.800000";"19.600000";"0";"Maison Duplanteur";"0";"1";
"1904";"Carottes des sables BIO (au kg)";"LP-RO-KUN-NO-P";"";"2.100000";"1.690000";"0";"GAEC Noble";"0";"1";
"1905";"Navet violets BIO de Grasse(au 500g)";"LR-MO-KMN-NO";"";"1.500000";"1.210000";"0";"NaturDis_M";"0";"1";
"1906";"Courge longue de Nice (Bio de Grasse ,vendue au kg)";"LF-MV-KUN-NO";"";"1.700000";"1.350000";"0";"NaturDis_M";"985";"0";
"1907";"Pomme Reine des Reinettes conversion France";"FP-MN-KUN-NO-P";"";"2.800000";"2.260000";"0";"NaturDis_M";"0";"1";
"1908";"Sel régénérant 2kg";"MX-RN-UUN-NN";"4007547403000";"2.750000";"1.840000";"1";"Bryio";"3";"0";
